年/月,不含11.瓦片及紅磚之[磚瓦瓷類]指數,不含37.木門、38.木板之[木材及其製品類]指數,不含58.泵浦、62.感知器之[機電設備類]指數,不含72.玻璃製品之[雜項類]指數,不含99.挖土機租金、103.舖面機租金之[機具設備租金類]指數,不含11.瓦片及紅磚、37.木門、38.木板、58.泵浦、62.感知器、72.玻璃製品、99.挖土機租金、103.舖面機租金、[砂石及級配類]之總指數,11.瓦片及紅磚指數,37.木門指數,38.木板指數,58.泵浦指數,62.感知器指數,72.玻璃製品指數,99.挖土機租金指數,103.舖面機租金指數,砂石及級配類指數
107/02,98.38,85.90,89.72,93.26,90.99,85.11,88.67,93.22,98.00,90.38,96.45,96.25,95.23,96.24,95.87
107/03,98.33,87.16,89.81,93.40,90.99,85.60,89.16,94.22,98.06,90.71,96.45,96.07,95.23,97.47,95.87
107/04,98.67,88.29,89.67,94.09,91.17,85.74,89.16,94.22,100.38,90.71,96.45,96.07,95.23,97.47,96.17
107/05,98.67,88.47,89.97,94.24,91.17,86.00,89.16,95.72,101.49,90.71,96.45,96.07,95.23,97.47,96.17
107/06,98.67,88.70,90.17,95.97,91.19,86.33,89.60,96.03,101.81,90.71,96.45,96.07,95.23,97.47,96.19
107/07,98.42,88.74,90.03,96.05,91.40,86.86,89.26,96.03,102.66,90.71,96.45,96.07,95.23,97.47,96.20
107/08,98.16,88.90,89.32,96.05,91.40,87.07,89.26,98.29,102.66,91.73,96.45,96.07,95.23,97.47,96.00
107/09,98.23,89.11,88.96,95.98,91.55,87.43,89.42,98.29,101.47,91.73,96.45,96.07,94.91,97.47,95.77
107/10,97.98,89.44,88.96,94.36,91.76,87.75,90.97,98.29,101.36,91.73,96.45,96.07,94.91,97.47,95.77
107/11,98.12,89.57,89.31,94.37,91.76,87.56,91.03,98.86,100.44,91.73,96.45,96.07,94.91,97.47,95.98
107/12,98.12,89.62,89.36,94.43,91.80,87.32,91.39,98.86,100.14,91.78,96.45,96.07,95.51,97.47,96.30
108/01,98.35,89.18,89.27,94.47,92.08,87.36,91.39,99.17,100.14,92.29,95.34,96.28,95.84,97.76,99.00
108/02,97.73,89.30,89.19,94.42,92.23,88.12,91.39,99.17,100.21,92.29,95.34,96.28,95.84,97.76,99.63
108/03,97.73,89.68,89.85,94.46,92.43,88.61,91.18,99.17,99.22,92.29,95.34,96.22,95.84,97.76,99.70
108/04,97.60,89.70,90.28,94.56,92.50,88.69,90.70,97.09,98.76,92.53,95.34,96.09,95.84,98.69,99.88
108/05,97.71,89.88,90.26,95.60,92.50,88.50,90.70,97.30,97.56,92.53,95.34,96.10,95.84,99.44,100.03
108/06,98.15,90.15,89.62,97.28,92.45,88.63,90.25,97.30,96.87,92.53,95.34,96.74,95.84,99.44,100.16
108/07,98.53,89.95,89.43,97.29,92.48,88.63,90.39,97.62,96.03,92.53,95.34,96.57,95.84,99.44,100.00
108/08,98.58,90.02,89.30,97.46,92.49,88.78,90.39,97.49,95.76,92.53,95.34,96.57,95.84,99.44,100.09
108/09,98.58,89.73,88.84,97.61,92.67,88.58,90.39,97.49,95.76,92.53,95.34,96.26,95.84,99.44,100.03
108/10,98.48,89.63,88.84,96.15,92.93,88.22,90.39,97.73,95.76,92.53,95.34,96.26,95.73,99.44,100.25
108/11,98.33,89.69,88.69,96.49,93.03,88.37,90.39,97.73,95.13,92.53,95.34,96.26,96.20,99.44,100.62
108/12,98.48,89.78,88.81,96.51,93.20,88.79,90.39,99.12,94.51,92.53,95.34,96.26,96.20,99.44,101.04
109/01,98.90,89.74,89.20,96.58,93.54,89.09,92.69,99.12,94.83,92.53,95.34,96.26,96.20,99.44,101.34
109/02,98.94,89.74,89.22,96.54,93.55,88.98,92.53,99.12,94.51,92.53,95.34,96.26,96.20,99.44,101.34
109/03,98.79,89.49,88.67,96.57,93.56,89.20,94.08,99.12,94.55,92.53,95.34,96.07,96.20,99.44,101.84
109/04,98.79,89.64,87.74,96.59,93.38,88.78,93.61,100.92,95.17,92.53,95.34,96.07,96.20,99.44,101.31
109/05,98.80,89.64,87.32,96.59,93.68,88.85,93.47,99.08,95.11,92.53,95.34,95.76,96.20,99.52,101.02
